household_id,kwh_per_occupant,kwh_per_sqft,usage_category
H0139,286.8,0.3627,High
H0140,341.46,0.6189,High
H0141,506.88,0.842,High
H0142,265.22,1.7824,High
H0143,1501.57,1.6163,High
H0144,281.37,1.0373,High
H0145,390.2,1.9833,High
H0146,615.57,1.3906,High
H0147,535.83,0.7116,
H0148,396.2,1.6278,High
H0149,208.39,1.3576,High
H0150,437.1,0.5021,High
H0151,285.78,0.4944,High
H0152,432.92,0.3925,High
H0153,346.0,0.8141,High
H0154,420.64,0.787,High
H0155,262.44,0.5212,High
H0156,215.8,1.5752,High
H0157,376.07,0.5247,High
H0158,465.95,0.8817,High
H0159,818.16,0.6793,High
H0160,205.74,1.5353,High
H0161,288.72,0.4485,High
H0162,452.28,0.7008,High
H0163,185.17,0.8175,High
H0164,207.27,0.6959,High
H0165,502.41,2.1625,High
H0166,2032.66,1.9267,
H0167,335.32,2.55,High
H0168,387.65,1.1632,High
H0169,287.75,1.196,High
H0170,749.73,1.0782,
H0171,698.33,0.5204,High
H0172,374.11,1.7986,High
H0173,273.77,0.7763,High
H0174,333.19,1.1212,High
H0175,892.88,0.6244,High
H0176,239.21,0.8374,High
H0177,770.44,0.6485,High
H0178,448.06,0.438,High
H0179,302.97,2.2894,High
H0180,258.64,1.5236,High
H0181,575.92,0.5641,High
H0182,1485.42,0.9395,High
H0183,309.22,1.206,High
H0184,272.44,1.6289,High
H0185,235.88,0.35,High
H0186,476.8,0.9343,High
H0187,208.04,0.3507,High
H0188,899.6,1.0364,High
H0189,279.66,1.8459,High
H0190,1755.52,3.032,High
H0191,836.44,0.6178,High
H0192,227.82,0.3959,High
H0193,462.11,0.9513,High
H0194,660.54,0.5702,High
H0195,529.53,0.4645,High
H0196,423.07,0.4421,High
H0197,549.77,1.2308,High
H0198,251.35,0.493,High
H0199,1854.15,2.6989,High
H0200,315.07,0.3648,High
H0201,349.68,0.8971,High
H0202,387.27,1.1492,High
H0203,255.03,0.8776,High
H0204,300.25,1.275,High
H0205,281.62,0.9645,High
H0206,205.4,0.6768,High
H0207,721.52,0.6097,High
H0208,1714.48,0.5502,High
H0209,367.03,0.7127,High
H0210,158.91,0.3123,Medium
H0211,169.1,0.6158,Medium
H0212,458.7,0.3293,Medium
H0213,1547.96,1.757,High
H0214,378.03,1.0717,High
H0215,1656.28,1.045,High
H0216,1682.76,0.6699,High
H0217,474.23,0.5542,High
H0218,1521.71,1.2392,High
H0219,516.63,0.5299,High
H0220,214.62,2.1498,High
H0221,694.26,0.5824,High
H0222,339.62,1.7931,High
H0223,640.71,0.7364,High
H0224,380.66,0.9868,High
H0225,524.7,0.6304,High
H0226,364.36,0.5213,High
H0227,597.71,1.6169,High
H0228,347.44,0.4735,High
H0229,336.75,0.5527,High
H0230,1707.94,0.782,High
H0231,209.04,1.1002,High
H0232,1855.21,0.8417,High
H0233,593.65,0.5297,High
H0234,416.27,1.4893,High
H0235,724.73,1.8792,
H0236,426.55,0.4355,High
H0237,410.78,0.7718,High
H0238,529.54,2.9542,
H0239,509.07,0.5627,High
H0240,275.72,0.6536,High
H0241,590.12,0.5193,High
H0242,2289.57,0.7331,
H0243,492.62,1.1757,High
H0244,272.12,0.7555,High
H0245,471.65,2.7107,
H0246,1453.29,0.694,High
H0247,413.74,0.8893,High
H0248,640.08,0.5044,High
H0249,339.24,0.5456,High
H0250,195.95,1.0718,High
H0251,506.34,1.0041,
H0252,357.79,1.1626,High
H0253,727.53,0.5322,High
H0254,242.26,0.4906,High
H0255,1984.76,2.9491,High
H0256,1569.79,1.3451,High
H0257,313.9,0.9756,High
H0258,405.08,0.5103,High
H0259,350.15,0.5211,High
H0260,252.72,0.4443,High
H0261,706.46,1.1933,High
H0262,1605.4,0.4828,High
H0263,974.66,1.2377,High
H0264,299.29,1.2934,High
H0265,458.15,0.8476,High
H0266,1688.86,0.7108,High
H0267,251.56,1.973,High
H0268,173.55,0.517,High
H0269,518.12,0.9154,High
H0270,323.0,0.4709,High
H0271,435.65,2.6403,High
H0272,641.13,0.947,High
H0273,293.28,2.2604,High
H0274,503.46,0.5072,High
H0275,362.54,1.1857,High
H0276,302.0,0.4584,High
H0277,340.99,0.6271,High
H0278,1640.92,2.6989,High
H0279,738.12,0.5196,High
H0280,1328.88,1.177,High
H0281,355.2,1.4914,
H0282,585.33,0.5815,High
H0283,515.98,0.6088,
H0284,318.27,0.871,High
H0285,247.92,0.4697,High
H0286,267.94,0.435,High
H0287,471.07,1.3298,High
H0288,369.79,2.7311,High
H0289,1743.09,2.0221,High
H0290,826.3,2.9617,High
H0291,337.93,0.9697,
H0292,351.49,0.6315,High
H0293,1290.79,0.9033,High
H0294,1747.43,0.6723,High
H0295,2252.18,0.7897,
H0296,286.93,0.8317,High
H0297,604.02,0.3944,High
H0298,2026.54,1.3674,
H0299,1367.55,0.438,High
H0300,289.85,2.1188,High
H0301,487.2,0.602,High
H0302,535.36,0.5388,High
H0303,751.83,1.283,High
H0304,342.03,0.893,High
H0305,1601.61,2.771,High
H0306,446.37,1.3255,High
H0307,838.16,1.1537,High
H0308,318.68,0.5024,High
H0309,388.28,1.482,High
H0310,1886.25,0.5996,High
H0311,246.51,2.4817,High
H0312,447.4,1.0429,High
H0313,753.34,0.9714,High
H0314,1362.9,1.0186,High
H0315,379.57,0.6987,High
H0316,816.65,1.9306,High
H0317,412.52,0.7562,High
H0318,523.07,0.3702,High
H0319,308.06,0.7294,High
H0320,1668.57,0.6772,High
H0321,1072.26,1.4044,
H0322,482.35,1.3233,High
H0323,804.52,0.7048,High
H0324,431.24,1.0213,High
H0325,250.02,0.5502,High
H0326,1742.42,0.7748,High
H0327,501.36,0.4839,High
H0328,1356.73,0.4024,High
H0329,267.2,0.5464,High
H0330,164.99,0.9175,Medium
H0331,225.02,1.1765,Medium
H0332,341.09,0.5251,High
H0333,329.52,0.6566,High
H0334,619.35,0.6254,High
H0335,1530.71,1.7141,High
H0336,294.75,0.6502,High
H0337,1927.61,0.7079,High
H0338,211.1,0.8876,High
H0339,484.52,0.5091,High
H0340,620.04,0.9333,High
H0341,425.69,0.5596,High
H0342,1015.85,1.8173,
H0343,650.19,0.6343,High
H0344,265.45,1.4413,High
H0345,911.33,0.3443,Medium
H0346,740.46,0.5314,High
H0347,439.34,0.7472,High
H0348,255.49,0.7013,High
H0349,253.68,1.5437,High
H0350,498.56,0.4883,High
H0351,366.43,0.6165,High
H0352,617.84,0.7794,High
H0353,776.02,0.8935,High
H0354,749.61,0.4976,High
H0355,521.47,1.2626,High
H0356,324.81,0.9134,High
H0357,357.29,2.2577,High
H0358,306.02,0.7663,High
H0359,396.33,1.9024,High
H0360,321.65,0.4933,High
H0361,333.8,0.5088,High
H0362,1084.86,0.4348,High
H0363,2002.23,0.604,
H0364,472.61,2.8994,High
H0365,722.25,1.2851,High
H0366,379.87,1.1768,High
H0367,438.58,0.6175,High
H0368,1452.62,1.5503,High
H0369,632.22,0.9234,High
H0370,1676.79,1.2645,High
H0371,395.43,1.0075,High
H0372,398.75,0.5567,High
H0373,1498.7,0.4716,High
H0374,1359.59,1.8883,High
H0375,1483.7,0.424,High
H0376,397.34,0.4142,High
H0377,582.06,2.2826,High
H0378,250.47,1.7933,High
H0379,1551.15,0.7971,High
H0380,518.68,1.8793,High
H0381,947.06,0.8582,High
H0382,296.2,1.1428,High
H0383,173.83,0.8284,High
H0384,458.67,0.4457,High
H0385,689.17,0.5979,
H0386,755.46,0.4471,High
H0387,273.09,2.4677,High
H0388,422.35,1.0088,High
H0389,868.54,0.6351,High
H0390,907.47,0.9752,High
H0391,671.08,1.5002,
H0392,522.47,0.9772,High
H0393,1049.84,2.5731,
H0394,531.72,2.8794,High
H0395,545.04,1.4625,High
H0396,235.62,0.3984,High
H0397,211.4,0.3887,High
H0398,285.67,0.8955,High
H0399,317.09,1.6671,High
H0400,882.57,1.3173,High
H0401,527.91,0.6952,High
H0402,300.95,0.7462,High
H0403,187.73,0.345,High
H0404,245.22,0.8955,High
H0405,326.27,1.5724,High
H0406,297.69,1.1692,High
H0407,343.24,1.6115,High
H0408,413.89,0.7889,High
H0409,374.6,0.5878,High
H0410,861.18,0.5067,High
H0411,857.44,1.1172,High
H0412,380.02,0.7946,High
H0413,261.52,0.9846,High
H0414,396.39,0.916,High
H0415,435.09,1.4662,High
H0416,257.15,0.891,High
H0417,1489.36,1.5291,High
H0418,215.18,0.6044,High
H0419,1675.92,0.5706,High
H0420,1243.55,1.1832,High
H0421,573.52,0.5499,High
H0422,260.4,0.6028,High
H0423,749.45,1.183,High
H0424,304.27,0.5227,High
H0425,2194.75,1.7502,
H0426,425.04,1.5801,High
H0427,1042.11,0.753,High
H0428,309.71,0.4571,High
H0429,290.68,0.5366,High
H0430,308.14,0.4348,High
H0431,272.66,0.4831,High
H0432,376.31,0.9503,High
H0433,1236.52,0.3917,High
H0434,263.61,0.5351,High
H0435,404.48,1.3069,High
H0436,209.87,0.7632,High
H0437,1416.51,0.9381,High
H0438,430.06,0.9529,High
H0439,481.9,0.6497,High
H0440,818.14,0.5188,High
H0441,1648.59,0.7531,High
H0442,1087.11,0.3462,High
H0443,322.83,0.5554,High
H0444,709.74,0.4561,High
H0445,366.29,0.4274,High
H0446,647.08,1.2729,High
H0447,1378.23,1.0964,High
H0448,1171.04,0.434,High
H0449,282.72,1.756,High
H0450,467.96,2.0585,High
H0451,1344.23,1.3578,High
H0452,446.25,0.9649,High
H0453,204.52,0.9632,High
H0454,291.17,1.3139,High
H0455,718.64,1.0093,High
H0456,829.9,0.5256,High
H0457,398.78,2.7128,High
H0458,261.63,1.5123,High
H0459,286.05,0.8509,High
H0460,1384.96,0.4178,High
H0461,660.98,0.9547,High
H0462,543.66,0.5317,High
H0463,2093.53,2.4514,
H0464,628.45,0.7727,High
H0465,475.34,0.6902,High
H0466,725.91,0.6835,High
H0467,332.1,0.7823,High
H0468,891.16,1.0698,High
H0469,397.86,1.6703,High
H0470,259.57,0.8124,High
H0471,394.79,2.2847,High
H0472,1384.1,0.642,High
H0473,1008.26,0.7883,High
H0474,669.5,0.5328,High
H0475,509.16,0.5786,High
H0476,663.12,0.396,High
H0477,221.04,0.3308,High
H0478,344.46,1.3447,
H0479,457.35,0.8091,High
H0480,196.79,0.4354,High
H0481,371.19,0.6887,High
H0482,892.82,0.5351,High
H0483,302.13,1.3107,High
H0484,578.45,0.4974,High
H0485,1469.56,0.5781,High
H0486,315.06,3.4623,High
H0487,293.45,0.5556,High
H0488,230.02,0.9152,High
H0489,470.5,0.8367,High
H0490,220.74,1.6535,High
H0491,454.52,1.0576,High
H0492,369.28,1.711,
H0493,644.92,0.7178,High
H0494,356.13,0.674,High
H0495,1807.08,0.7759,High
H0496,196.08,0.9156,High
H0497,346.2,0.6068,High
H0498,355.72,0.5839,High
H0499,383.15,1.0979,High
H0500,1466.99,1.9718,High
H0501,232.88,2.4175,High
H0502,769.61,0.6865,High
H0503,783.12,0.4564,High
H0504,1787.78,0.5289,High
H0505,1427.21,0.4894,High
H0506,522.25,1.8652,High
H0507,616.76,2.7616,High
H0508,239.94,1.8943,High
H0509,552.96,0.9304,High
H0510,488.17,0.451,High
H0511,1547.92,0.5716,High
H0512,277.45,1.2935,High
H0513,476.75,0.5626,High
H0514,267.02,0.6047,High
H0515,264.66,0.7169,High
H0516,1356.78,0.5273,High
H0517,432.37,0.8883,High
H0518,568.3,0.5595,High
H0519,313.7,1.0943,High
H0520,455.3,0.6315,High
H0521,910.26,0.9767,High
H0522,1571.3,0.7497,High
H0523,288.89,0.367,High
H0524,1399.52,1.1982,High
H0525,668.13,1.0736,
H0526,442.87,0.7113,High
H0527,419.09,0.8779,
H0528,724.98,0.4278,High
H0529,299.9,1.0535,High
H0530,1823.1,1.0983,High
H0531,1198.21,0.388,High
H0532,392.06,0.8553,High
H0533,785.64,0.5689,High
H0534,1916.76,0.7744,High
H0535,431.52,0.8834,High
H0536,299.79,0.9021,High
H0537,528.26,0.3309,High
H0538,1567.88,1.5134,High
H0539,718.43,0.8804,
H0540,655.74,0.4174,High
H0541,705.31,0.5929,High
H0542,1793.21,0.8816,High
H0543,340.57,0.7524,High
H0544,354.32,1.0616,High
H0545,362.16,0.9013,High
H0546,1417.18,0.7723,High
H0547,490.57,0.8839,High
H0548,712.38,0.5704,High
H0549,1479.18,1.6527,High
H0550,259.78,0.3865,High
H0551,582.73,1.0305,High
H0552,487.27,2.6627,High
H0553,250.53,1.0912,High
H0554,1304.95,0.432,High
H0555,1898.65,0.7319,High
H0556,789.22,1.3882,High
H0557,1053.88,1.6768,
H0558,415.06,0.884,High
H0559,437.33,0.6076,High
H0560,394.58,1.7568,High
H0561,872.76,1.0715,High
H0562,192.75,1.7417,High
H0563,382.82,0.6167,High
H0564,310.27,0.5786,High
H0565,857.88,0.6185,High
H0566,821.99,0.6694,High
H0567,443.55,0.5512,High
H0568,286.93,0.4544,High
H0569,230.29,0.7964,High
H0570,487.0,0.8578,High
H0571,703.98,0.4214,High
H0572,191.09,0.657,High
H0573,431.13,1.0289,High
H0574,221.61,0.9956,High
H0575,285.64,0.5818,High
H0576,892.52,1.0747,High
H0577,282.8,0.8053,High
H0578,479.0,0.6947,High
H0579,353.33,0.9323,High
H0580,279.53,0.7062,High
H0581,308.41,0.9653,High
H0582,784.09,0.722,High
H0583,412.99,0.6103,High
H0584,1360.1,0.5815,High
H0585,289.21,1.0771,High
H0586,1707.9,0.7237,High
H0587,278.12,1.8318,High
H0588,333.11,0.8502,High
H0589,351.84,1.2466,High
H0590,864.44,0.9724,High
H0591,215.13,1.1724,High
H0592,243.28,1.2113,High
H0593,356.82,1.4227,High
H0594,305.65,0.9956,High
H0595,1868.37,0.9227,High
H0596,1511.7,1.7743,High
H0597,1688.87,2.7372,High
H0598,280.89,0.7384,High
H0599,1528.78,2.1322,High
H0600,538.77,0.4643,High
H0601,215.49,0.5351,High
H0602,387.93,1.7601,High
H0603,2001.97,1.8693,
H0604,578.54,1.8023,High
H0605,514.84,0.5259,High
H0606,318.18,0.7039,High
H0607,431.26,0.6291,High
H0608,1869.13,0.6593,High
H0609,681.46,1.1492,
H0610,314.74,0.4096,High
H0611,232.65,1.332,High
H0612,1513.6,1.1502,High
H0613,1135.58,0.9495,High
H0614,354.4,0.4888,High
H0615,259.3,0.8581,High
H0616,328.12,0.4945,High
H0617,254.75,0.6775,High
H0618,360.11,0.8233,High
H0619,1584.56,0.6229,High
H0620,682.5,0.7051,High
H0621,278.9,0.4631,High
H0622,516.16,0.8889,High
H0623,834.23,0.5575,High
H0624,187.85,1.4124,High
H0625,352.47,0.6969,High
H0626,1324.39,0.6056,High
H0627,518.72,0.5149,High
H0628,576.95,3.1935,High
H0629,329.98,1.0919,High
H0630,309.48,0.5744,High
H0631,217.62,0.536,High
H0632,306.76,0.5547,High
H0633,627.22,0.4503,High
H0634,386.03,1.5068,High
H0635,362.26,0.5946,High
H0636,244.93,0.4658,High
H0637,401.83,1.5491,
H0638,407.4,0.8152,High
H0639,603.98,0.7432,High
H0640,1917.14,2.8916,High
H0641,1522.03,1.0106,High
H0642,526.02,1.9925,
H0643,206.04,0.7533,High
H0644,309.23,0.729,High
H0645,1150.93,0.3717,High
H0646,279.97,0.9281,High
H0647,320.01,0.7623,High
H0648,334.34,0.5837,High
H0649,1692.45,3.1458,High
H0650,256.46,0.5969,High
H0651,567.7,1.6503,High
H0652,349.82,0.5315,High
H0653,478.3,0.9537,High
H0654,471.05,0.6948,High
H0655,1626.87,0.4776,High
H0656,868.6,0.8664,High
H0657,246.48,0.4381,High
H0658,328.56,0.9111,High
H0659,520.95,0.7921,High
H0660,272.04,0.6537,High
H0661,302.62,1.7594,High
H0662,281.63,0.6172,High
H0663,642.91,2.7953,High
H0664,248.46,0.7265,High
H0665,1420.61,0.4305,High
H0666,584.83,0.7833,High
H0667,1220.46,1.3309,High
H0668,335.49,1.0197,High
H0669,264.72,0.7423,High
H0670,249.44,1.0948,High
H0671,251.89,0.4767,High
H0672,259.6,0.7198,High
H0673,252.2,0.5876,High
H0674,319.41,0.4721,High
H0675,235.74,2.3111,High
H0676,293.84,0.7505,High
H0677,568.78,0.708,High
H0678,303.13,0.7135,High
H0679,695.25,0.8453,High
H0680,652.84,1.2788,High
H0681,658.65,1.7658,High
H0682,907.58,0.5278,High
H0683,1410.46,1.0565,High
H0684,642.6,1.2034,High
H0685,335.71,0.8249,High
H0686,433.42,1.0198,High
H0687,427.72,0.6026,High
H0688,474.72,0.5469,High
H0689,512.63,0.6181,High
H0690,909.52,0.5756,High
H0691,448.08,0.8379,High
H0692,480.24,0.846,High
H0693,204.48,0.5084,High
H0694,1413.63,0.4868,High
H0695,1631.84,1.0542,High
H0696,677.36,0.9086,High
H0697,212.82,1.0623,High
H0698,282.57,0.7563,High
H0699,381.6,3.5531,High
H0700,863.82,0.9561,High
H0701,766.47,0.8607,High
H0702,1096.21,0.4269,High
H0703,320.46,0.9241,High
H0704,487.63,2.6598,High
H0705,218.08,0.5498,High
H0706,637.11,3.4688,High
H0707,543.93,0.5327,High
H0708,488.31,1.3938,High
H0709,205.91,1.047,High
H0710,622.51,1.6512,High
H0711,1057.77,0.8032,
H0712,375.82,1.1902,High
H0713,252.24,0.3665,High
H0714,668.8,0.7246,High
H0715,227.06,1.3874,High
H0716,317.11,1.4853,High
H0717,542.56,0.5021,High
H0718,295.78,1.7926,High
H0719,257.89,0.6378,High
H0720,1983.1,0.7291,High
H0721,594.02,1.6142,High
H0722,1321.58,0.745,High
H0723,1388.4,0.5918,High
H0724,1960.47,0.8346,High
H0725,420.11,0.5583,High
H0726,273.23,0.4347,High
H0727,755.3,1.935,
H0728,426.58,1.6707,High
H0729,663.22,0.5957,High
H0730,241.98,0.4739,High
H0731,809.04,1.1872,High
H0732,851.31,0.5352,High
H0733,258.4,2.1534,High
H0734,416.17,0.4563,High
H0735,268.65,1.0884,High
H0736,314.83,1.7539,High
H0737,537.44,0.5231,High
H0738,385.06,1.0379,High
H0739,421.64,3.32,High
H0740,2069.93,0.6493,
H0741,346.89,0.7303,High
H0742,209.88,1.178,High
H0743,280.53,0.6619,High
H0744,277.78,1.5584,High
H0745,1886.14,0.6975,High
H0746,720.63,1.672,High
H0747,923.54,0.7241,High
H0748,869.56,0.6062,High
H0749,876.48,0.968,High
H0750,933.24,1.1084,Medium
H0751,294.18,0.7376,High
H0752,625.14,0.7042,High
H0753,266.15,0.5934,High
H0754,676.01,0.2094,Medium
H0755,279.1,0.7684,High
H0756,391.44,0.508,High
H0757,512.48,0.5091,High
H0758,308.13,0.7805,High
H0759,303.98,1.8239,High
H0760,401.77,0.9013,High
H0761,473.01,0.6109,High
H0762,249.64,0.5824,High
H0763,877.23,0.7235,High
H0764,863.07,0.5253,High
H0765,1504.7,2.4387,High
H0766,1499.78,1.2635,High
H0767,285.32,2.7002,High
H0768,855.66,0.6409,High
H0769,383.33,1.1705,High
H0770,964.53,0.7371,High
H0771,1000.35,0.7719,
H0772,525.12,1.5192,High
H0773,2172.28,0.7643,
H0774,1627.71,0.5131,High
H0775,1515.0,0.8398,High
H0776,1664.49,0.636,High
H0777,396.22,0.5486,High
H0778,1562.9,0.6955,High
H0779,280.75,0.7923,High
H0780,229.54,0.5063,High
H0781,608.06,0.6836,High
H0782,368.4,1.4265,High
H0783,265.89,0.5534,High
H0784,328.07,0.4629,High
H0785,1725.66,1.0086,High
H0786,1734.88,2.4062,High
H0787,1753.77,0.5428,High
H0788,277.98,0.6655,High
H0789,1714.8,1.1884,High
H0790,889.26,0.7636,High
H0791,885.99,1.5993,High
H0792,359.75,2.321,High
H0793,856.04,1.3129,High
H0794,587.58,1.2914,High
H0795,301.82,0.6296,High
H0796,235.36,0.8366,High
H0797,372.75,0.4837,High
H0798,1390.76,0.4841,High
H0799,872.97,0.6064,High
H0800,329.86,1.4208,High
H0801,586.86,1.0124,High
H0802,281.11,1.4985,High
H0803,466.53,0.4355,High
H0804,284.67,1.9977,High
H0805,325.68,0.8451,High
H0806,522.87,0.4831,High
H0807,468.15,0.6714,High
H0808,736.68,1.7881,High
H0809,1300.93,0.9622,High
H0810,180.15,0.7048,Medium
H0811,977.0,0.8906,Medium
H0812,1206.09,0.4172,High
H0813,613.46,1.7528,High
H0814,1833.01,0.6052,High
H0815,2051.89,0.9314,
H0816,321.58,0.6376,High
H0817,325.21,0.5742,High
H0818,1729.28,1.211,High
H0819,336.54,0.5607,High
H0820,409.25,0.9264,High
H0821,502.31,0.6353,High
H0822,997.46,0.6545,High
H0823,468.29,0.6148,High
H0824,393.06,0.4573,High
H0825,1704.07,1.6889,High
H0826,304.93,1.0998,High
H0827,210.4,0.5434,High
H0828,285.78,1.8438,High
H0829,274.23,0.4934,High
H0830,301.37,0.7978,High
H0831,301.84,0.579,High
H0832,236.73,0.4814,High
H0833,516.02,1.0654,High
H0834,312.43,0.6004,High
H0835,1599.78,0.5792,High
H0836,343.12,1.1955,
H0837,294.95,0.5448,High
H0838,363.82,0.6703,High
H0839,286.67,0.7283,High
H0840,263.55,0.9183,High
H0841,431.85,3.0199,High
H0842,875.21,2.2615,High
H0843,663.39,3.4977,High
H0844,354.91,0.9852,High
H0845,722.03,0.8386,High
H0846,1756.24,0.619,High
H0847,595.22,1.0286,High
H0848,652.73,0.5683,High
H0849,336.09,0.682,High
H0850,958.0,1.9692,High
H0851,245.78,1.0466,High
H0852,522.32,0.7995,High
H0853,599.52,1.4694,High
H0854,783.48,0.4618,High
H0855,776.94,1.4204,High
H0856,292.0,0.8706,High
H0857,410.07,0.5668,High
H0858,1803.15,0.7589,High
H0859,876.75,1.2093,High
H0860,1399.84,0.4383,High
H0861,599.8,0.6032,High
H0862,293.19,0.3431,High
H0863,428.53,0.65,High
H0864,1408.14,1.1384,High
H0865,566.65,0.5122,High
H0866,212.69,0.772,High
H0867,301.66,0.6024,High
H0868,376.23,0.5631,High
H0869,1143.09,1.7973,High
H0870,212.0,0.6572,High
H0871,328.21,1.9194,High
H0872,729.06,0.5279,High
H0873,461.35,1.1486,High
H0874,282.45,0.866,High
H0875,444.15,3.1782,High
H0876,483.13,0.4334,High
H0877,518.86,1.006,
H0878,1311.49,1.0645,High
H0879,1598.34,1.4271,High
H0880,518.3,2.3613,
H0881,594.6,1.4767,High
H0882,456.32,0.8204,High
H0883,228.14,0.9331,Medium
H0884,973.34,1.182,High
H0885,1860.93,0.9519,High
H0886,230.06,0.4078,High
H0887,710.39,1.5454,
H0888,195.78,1.1449,Medium
H0889,349.49,1.2341,High
H0890,327.93,2.7419,High
H0891,616.21,1.652,High
H0892,909.15,0.5624,High
H0893,326.15,2.3703,High
H0894,1386.47,0.4614,High
H0895,1336.5,0.4654,High
H0896,424.46,0.854,High
H0897,188.93,0.5932,High
H0898,678.79,0.7562,
H0899,500.22,0.9162,High
H0900,350.91,0.5375,High
H0901,734.2,1.1445,High
H0902,719.33,0.572,High
H0903,944.39,1.2858,High
H0904,272.52,1.3242,High
H0905,284.59,0.5208,High
H0906,433.21,0.3819,High
H0907,1336.46,0.4245,High
H0908,819.09,0.543,High
H0909,237.12,1.5184,High
H0910,293.69,0.9655,High
H0911,1483.29,0.5066,High
H0912,1216.11,0.3908,High
H0913,437.44,0.5809,High
H0914,648.59,1.5955,High
H0915,1132.5,2.2337,High
H0916,1149.27,0.4055,High
H0917,1194.52,0.3704,High
H0918,281.89,0.4405,High
H0919,249.05,2.5499,High
H0920,1414.55,0.6087,High
H0921,1602.52,0.7297,High
H0922,334.24,0.7624,High
H0923,493.78,1.9851,High
H0924,456.68,0.7558,High
H0925,1329.92,2.5429,High
