household_id,region,city,postal_code,house_type,floor_area_sqft,num_occupants,has_solar_panels
H0061,East,Lakeland,95054,Detached,2753,2,Yes
H0062,East,Springfield,87230,Townhouse,1154,5,No
H0063,North,Springfield,16405,Apartment,2084,6,Yes
H0064,North,Lakeland,63130,Condo,3096,5,Yes
H0065,North,Hillview,62971,Townhouse,2136,6,Yes
H0066,South,Rivertown,60751,Apartment,2752,2,Yes
H0067,South,Hillview,57229,Condo,2137,5,No
H0068,West,Lakeland,84490,Condo,817,3,No
H0069,West,Springfield,94799,Townhouse,3372,6,No
H0070,South,Rivertown,96458,Townhouse,1023,5,No
H0071,North,Hillview,40518,Townhouse,1915,1,No
H0072,West,Rivertown,38916,Detached,787,5,Yes
H0073,West,Hillview,36991,Apartment,3384,2,Yes
H0074,South,Hillview,20835,Condo,1359,1,Yes
H0075,North,Rivertown,11391,Condo,2608,6,Yes
H0076,East,Rivertown,15817,Apartment,2004,6,No
H0077,South,Springfield,74692,Apartment,3196,3,No
H0078,East,Lakeland,59572,Townhouse,2234,2,Yes
H0079,North,Lakeland,59864,Apartment,3350,5,Yes
H0080,West,Rivertown,29928,Condo,2229,3,Yes
H0081,West,Lakeland,97272,Townhouse,852,2,Yes
H0082,East,Lakeland,97242,Apartment,1415,4,No
H0083,South,Rivertown,26901,Detached,1016,4,Yes
H0084,South,Rivertown,75290,Detached,1532,5,No
H0085,West,Hillview,10918,Detached,3294,2,Yes
H0086,South,Hillview,78125,Apartment,3439,2,Yes
H0087,North,Hillview,32626,Apartment,2836,5,Yes
H0088,East,Springfield,42669,Townhouse,661,2,No
H0089,East,Lakeland,74034,Townhouse,1921,4,No
H0090,North,Lakeland,87289,Detached,647,5,No
H0091,West,Lakeland,34165,Apartment,3450,3,Yes
H0092,North,Rivertown,66949,Townhouse,1883,6,No
H0093,West,Rivertown,47614,Detached,3218,3,No
H0094,North,Lakeland,85737,Detached,1278,2,Yes
H0095,South,Lakeland,13014,Townhouse,1063,2,Yes
H0096,South,Hillview,33393,Apartment,3326,6,Yes
H0097,South,Rivertown,39818,Detached,1134,2,Yes
H0098,West,Hillview,14144,Townhouse,1604,1,No
H0099,South,Lakeland,20699,Condo,1644,5,Yes
H0100,East,Lakeland,49778,Apartment,2382,6,No
H0101,West,Springfield,11508,Townhouse,1970,3,Yes
H0102,West,Lakeland,59873,Condo,2682,3,No
H0103,South,Lakeland,96530,Townhouse,3373,4,No
H0104,East,Hillview,46211,Condo,1472,2,Yes
H0105,East,Hillview,87567,Apartment,2968,3,No
H0106,North,Lakeland,94160,Detached,2059,3,Yes
H0107,South,Rivertown,50609,Condo,3234,5,No
H0108,East,Rivertown,97716,Condo,2119,6,No
H0109,South,Rivertown,74244,Townhouse,764,3,Yes
H0110,South,Springfield,93175,Detached,3233,3,No
H0111,West,Rivertown,70031,Condo,2729,6,Yes
H0112,East,Hillview,32979,Apartment,927,6,No
H0113,East,Rivertown,34890,Apartment,1539,4,Yes
H0114,East,Hillview,20586,Apartment,2679,6,Yes
H0115,East,Springfield,30310,Condo,555,6,Yes
H0116,East,Rivertown,89209,Detached,1263,4,Yes
H0117,East,Springfield,14750,Townhouse,2786,3,No
H0118,West,Springfield,22910,Detached,2939,1,No
H0119,East,Rivertown,25791,Townhouse,2662,4,No
H0120,South,Hillview,88338,Townhouse,1599,1,Yes
H0121,West,Lakeland,66396,Apartment,1303,1,Yes
H0122,East,Lakeland,88622,Detached,838,3,No
H0123,North,Lakeland,86209,Condo,1383,2,Yes
H0124,South,Springfield,69146,Apartment,3209,4,No
H0125,East,Springfield,36824,Detached,1819,2,Yes
H0126,North,Springfield,13265,Apartment,2969,1,Yes
H0127,South,Hillview,43618,Apartment,627,2,No
H0128,West,Hillview,93982,Townhouse,1086,5,Yes
H0129,West,Rivertown,59022,Condo,3184,5,Yes
H0130,West,Hillview,16497,Detached,618,1,No
H0131,West,Springfield,21807,Condo,763,4,No
H0132,West,Lakeland,83284,Apartment,3098,2,Yes
H0133,South,Lakeland,85127,Apartment,2640,4,No
H0134,South,Rivertown,36209,Townhouse,1396,1,Yes
H0135,North,Springfield,95822,Detached,3257,5,Yes
H0136,North,Lakeland,93518,Townhouse,1582,3,No
H0137,West,Rivertown,50885,Townhouse,2395,6,Yes
H0138,East,Hillview,51627,Townhouse,728,2,Yes
H0139,East,Hillview,62082,Detached,3163,4,Yes
H0140,West,Hillview,76214,Detached,2207,4,Yes
H0141,West,Lakeland,87410,Condo,1806,3,No
H0142,South,Springfield,57847,Townhouse,744,5,No
H0143,South,Lakeland,82713,Detached,929,1,Yes
H0144,South,Lakeland,61693,Condo,1085,4,No
H0145,North,Rivertown,56057,Detached,787,4,Yes
H0146,East,Lakeland,86135,Condo,1328,3,No
H0147,East,Springfield,48220,Detached,3012,4,No
H0148,East,Hillview,73863,Apartment,1217,5,Yes
H0149,South,Rivertown,99146,Detached,921,6,No
H0150,East,Lakeland,86494,Apartment,3482,4,Yes
H0151,East,Springfield,33905,Apartment,3468,6,No
H0152,East,Springfield,17186,Condo,3309,3,Yes
H0153,North,Rivertown,86232,Apartment,1700,4,Yes
H0154,North,Hillview,21814,Apartment,2138,4,No
H0155,West,Hillview,88366,Detached,3021,6,Yes
H0156,East,Rivertown,20585,Apartment,822,6,Yes
H0157,North,Springfield,60951,Detached,2150,3,Yes
H0158,South,Hillview,28476,Townhouse,2114,4,No
H0159,North,Lakeland,78464,Apartment,2409,2,Yes
H0160,West,Rivertown,48758,Detached,804,6,Yes
H0161,East,Rivertown,19268,Detached,3219,5,No
H0162,North,Rivertown,50807,Detached,1936,3,Yes
H0163,West,Hillview,26179,Detached,1359,6,No
H0164,North,Rivertown,54432,Townhouse,1787,6,Yes
H0165,East,Rivertown,90558,Apartment,697,3,Yes
H0166,South,Hillview,44878,Townhouse,1055,1,No
H0167,West,Rivertown,42244,Townhouse,526,4,Yes
H0168,North,Rivertown,59734,Apartment,1333,4,No
H0169,East,Springfield,75783,Apartment,1203,5,Yes
H0170,West,Hillview,36014,Condo,2086,3,No
H0171,North,Lakeland,81029,Apartment,2684,2,Yes
H0172,East,Hillview,19562,Condo,832,4,Yes
H0173,South,Lakeland,30395,Apartment,2116,6,Yes
H0174,South,Lakeland,43267,Apartment,1783,6,Yes
H0175,South,Springfield,34457,Townhouse,2860,2,No
H0176,North,Springfield,27092,Detached,1714,6,Yes
H0177,East,Lakeland,30186,Detached,2376,2,Yes
H0178,North,Lakeland,72846,Condo,3069,3,No
H0179,South,Lakeland,86217,Apartment,794,6,Yes
H0180,West,Hillview,92943,Townhouse,679,4,Yes
H0181,East,Hillview,64067,Apartment,3063,3,Yes
H0182,North,Rivertown,90860,Detached,1581,1,Yes
H0183,South,Lakeland,75023,Apartment,1282,5,No
H0184,South,Lakeland,19047,Condo,669,4,Yes
H0185,West,Springfield,48514,Condo,3370,5,Yes
H0186,West,Lakeland,85512,Condo,1531,3,Yes
H0187,West,Lakeland,95961,Detached,2966,5,No
H0188,East,Hillview,46089,Condo,1736,2,No
H0189,East,Rivertown,89703,Detached,909,6,No
H0190,South,Lakeland,91725,Condo,579,1,Yes
H0191,East,Lakeland,18080,Apartment,2708,2,No
H0192,North,Springfield,47137,Townhouse,3453,6,Yes
H0193,East,Hillview,94413,Condo,1943,4,Yes
H0194,East,Hillview,23085,Apartment,2317,2,Yes
H0195,East,Springfield,98165,Condo,2280,2,No
H0196,West,Springfield,35442,Townhouse,2871,3,Yes
H0197,East,Lakeland,39236,Apartment,1340,3,No
H0198,East,Rivertown,62702,Townhouse,3059,6,Yes
H0199,West,Lakeland,99689,Detached,687,1,No
H0200,South,Lakeland,17727,Detached,3455,4,No
H0201,South,Rivertown,59507,Townhouse,1949,5,No
H0202,East,Hillview,47554,Townhouse,1685,5,No
H0203,East,Rivertown,17755,Townhouse,1453,5,No
H0204,West,Rivertown,38893,Condo,942,4,No
H0205,South,Rivertown,32438,Detached,1752,6,Yes
H0206,North,Springfield,64989,Condo,1821,6,Yes
H0207,North,Lakeland,23493,Townhouse,2367,2,No
H0208,South,Lakeland,74296,Townhouse,3116,1,Yes
H0209,West,Rivertown,26478,Townhouse,2575,5,Yes
H0210,East,Hillview,76949,Condo,3053,6,No
H0211,East,Springfield,84077,Townhouse,1373,5,Yes
H0212,West,Lakeland,38827,Townhouse,2786,2,No
H0213,East,Rivertown,18795,Townhouse,881,1,Yes
H0214,South,Rivertown,10584,Apartment,1411,4,Yes
H0215,North,Lakeland,30510,Apartment,1585,1,No
H0216,South,Hillview,99912,Apartment,2512,1,No
H0217,East,Hillview,36821,Condo,2567,3,Yes
H0218,West,Hillview,25832,Condo,1228,1,Yes
H0219,North,Springfield,13268,Townhouse,2925,3,Yes
H0220,West,Hillview,18138,Condo,599,6,No
H0221,South,Springfield,37876,Condo,2384,2,No
H0222,South,Springfield,37472,Detached,947,5,Yes
H0223,South,Hillview,39074,Townhouse,2610,3,Yes
H0224,South,Hillview,71446,Condo,1543,4,No
H0225,North,Springfield,51561,Detached,2497,3,Yes
H0226,North,Springfield,75796,Townhouse,3495,5,Yes
H0227,West,Lakeland,42365,Apartment,1109,3,Yes
H0228,East,Rivertown,93655,Detached,2935,4,No
H0229,North,Lakeland,77718,Detached,2437,4,No
H0230,South,Lakeland,52718,Apartment,2184,1,Yes
H0231,West,Lakeland,27792,Condo,1140,6,No
H0232,North,Hillview,76965,Apartment,2204,1,Yes
H0233,North,Hillview,77041,Townhouse,3362,3,Yes
H0234,South,Springfield,14099,Townhouse,1118,4,No
H0235,East,Springfield,32598,Townhouse,1157,3,No
H0236,East,Lakeland,80865,Condo,2938,3,Yes
H0237,East,Rivertown,91970,Apartment,2129,4,Yes
H0238,South,Springfield,50295,Detached,717,4,No
H0239,North,Lakeland,10679,Townhouse,2714,3,No
H0240,East,Springfield,89569,Townhouse,2531,6,Yes
H0241,North,Rivertown,66831,Condo,3409,3,No
H0242,East,Springfield,31170,Detached,3123,1,Yes
H0243,West,Hillview,81771,Apartment,1257,3,Yes
H0244,South,Hillview,34210,Apartment,2161,6,No
H0245,South,Lakeland,75040,Condo,870,5,No
H0246,West,Hillview,52527,Detached,2094,1,Yes
H0247,West,Lakeland,88694,Detached,1861,4,Yes
H0248,West,Lakeland,15489,Detached,2538,2,No
H0249,West,Rivertown,50094,Townhouse,2487,4,Yes
H0250,South,Lakeland,44858,Condo,1097,6,Yes
H0251,East,Hillview,99259,Townhouse,2017,4,Yes
H0252,West,Rivertown,79205,Condo,1231,4,Yes
H0253,East,Springfield,49145,Apartment,2734,2,Yes
H0254,West,Lakeland,52042,Apartment,2963,6,No
H0255,North,Springfield,59561,Condo,673,1,No
H0256,East,Lakeland,74787,Apartment,1167,1,No
H0257,West,Rivertown,91785,Townhouse,1287,4,No
H0258,West,Lakeland,53453,Townhouse,3175,4,No
H0259,East,Lakeland,53595,Apartment,3360,5,Yes
H0260,East,Lakeland,92977,Apartment,3413,6,No
H0261,East,Hillview,39203,Detached,1184,2,No
H0262,South,Springfield,10377,Townhouse,3325,1,No
H0263,East,Hillview,59259,Detached,1575,2,Yes
H0264,North,Hillview,62103,Condo,1157,5,No
H0265,North,Rivertown,79427,Townhouse,2162,4,Yes
H0266,North,Lakeland,91433,Apartment,2376,1,Yes
H0267,North,Rivertown,79092,Townhouse,765,6,Yes
H0268,West,Lakeland,12496,Townhouse,2014,6,No
H0269,South,Lakeland,77108,Townhouse,1698,3,No
H0270,West,Springfield,42583,Condo,2744,4,No
H0271,South,Lakeland,45141,Detached,660,4,Yes
H0272,South,Rivertown,37980,Detached,2031,3,No
H0273,East,Lakeland,78020,Apartment,519,4,Yes
H0274,West,Lakeland,35971,Condo,2978,3,Yes
H0275,North,Lakeland,14091,Detached,1223,4,No
H0276,West,Springfield,35686,Condo,2635,4,Yes
H0277,South,Hillview,96576,Detached,2719,5,No
H0278,East,Lakeland,32423,Detached,608,1,Yes
H0279,North,Springfield,61316,Townhouse,2841,2,No
H0280,North,Springfield,53122,Townhouse,1129,1,Yes
H0281,North,Hillview,58614,Apartment,1429,6,No
H0282,East,Rivertown,39082,Apartment,3020,3,Yes
H0283,South,Hillview,69821,Townhouse,3390,4,Yes
H0284,South,Springfield,32167,Condo,1827,5,No
H0285,North,Lakeland,47964,Condo,2639,5,Yes
H0286,West,Hillview,82687,Condo,3080,5,Yes
H0287,South,Lakeland,84930,Townhouse,1417,4,Yes
H0288,North,Lakeland,89329,Townhouse,677,5,No
H0289,West,Rivertown,87398,Condo,862,1,No
H0290,West,Springfield,52102,Townhouse,558,2,Yes
H0291,West,Rivertown,88758,Condo,2091,6,Yes
H0292,North,Rivertown,18799,Detached,2783,5,No
H0293,South,Rivertown,62893,Townhouse,1429,1,No
H0294,North,Springfield,79705,Condo,2599,1,Yes
H0295,West,Rivertown,53020,Townhouse,2852,1,No
H0296,North,Hillview,14177,Detached,2070,6,No
H0297,East,Springfield,40442,Apartment,3063,2,No
H0298,East,Springfield,58419,Townhouse,1482,1,No
H0299,West,Springfield,25524,Townhouse,3122,1,No
H0300,North,Rivertown,29110,Townhouse,684,5,Yes
H0301,North,Hillview,16811,Detached,2428,3,No
H0302,South,Springfield,46754,Apartment,2981,3,Yes
H0303,South,Lakeland,80892,Condo,1172,2,Yes
H0304,West,Rivertown,23861,Townhouse,1915,5,No
H0305,West,Hillview,74406,Detached,578,1,Yes
H0306,South,Lakeland,75697,Apartment,1347,4,Yes
H0307,West,Springfield,81421,Condo,1453,2,No
H0308,East,Lakeland,69746,Condo,2537,4,No
H0309,West,Rivertown,86737,Apartment,1048,4,Yes
H0310,East,Lakeland,73057,Condo,3146,1,Yes
H0311,South,Rivertown,64168,Townhouse,596,6,Yes
H0312,South,Lakeland,87143,Detached,1716,4,No
H0313,North,Springfield,59318,Apartment,1551,2,Yes
H0314,North,Hillview,81493,Detached,1338,1,No
H0315,North,Springfield,42357,Townhouse,2173,4,No
H0316,West,Rivertown,66746,Condo,846,2,Yes
H0317,West,Rivertown,44329,Townhouse,2182,4,Yes
H0318,North,Springfield,79748,Apartment,2826,2,No
H0319,West,Hillview,78599,Detached,2534,6,No
H0320,West,Springfield,32930,Condo,2464,1,No
H0321,North,Hillview,72587,Apartment,1527,2,No
H0322,North,Rivertown,83402,Apartment,1458,4,Yes
H0323,West,Springfield,36223,Apartment,2283,2,Yes
H0324,North,Springfield,74413,Townhouse,1689,4,Yes
H0325,West,Rivertown,69200,Townhouse,2272,5,Yes
H0326,East,Lakeland,45587,Townhouse,2249,1,Yes
H0327,North,Lakeland,19721,Apartment,3108,3,No
H0328,North,Springfield,87687,Apartment,3372,1,Yes
H0329,East,Hillview,51995,Townhouse,2445,5,Yes
H0330,North,Lakeland,43080,Detached,1079,6,Yes
H0331,East,Springfield,95679,Condo,765,4,No
H0332,East,Hillview,75742,Detached,3248,5,Yes
H0333,North,Rivertown,18278,Apartment,3011,6,No
H0334,East,Hillview,62290,Condo,2971,3,No
H0335,East,Lakeland,18964,Apartment,893,1,No
H0336,East,Lakeland,40820,Detached,2720,6,No
H0337,North,Hillview,82712,Townhouse,2723,1,No
H0338,South,Springfield,31384,Townhouse,1427,6,No
H0339,West,Hillview,36967,Detached,2855,3,No
H0340,South,Springfield,81008,Condo,1993,3,Yes
H0341,North,Hillview,35492,Detached,3043,4,No
H0342,South,Lakeland,27713,Townhouse,1118,2,Yes
H0343,East,Hillview,63994,Townhouse,3075,3,No
H0344,West,Lakeland,34198,Apartment,1105,6,Yes
H0345,North,Rivertown,62813,Townhouse,2647,1,Yes
H0346,West,Rivertown,55287,Townhouse,2787,2,Yes
H0347,West,Lakeland,99050,Townhouse,1764,3,Yes
H0348,East,Lakeland,38699,Detached,2186,6,Yes
H0349,South,Hillview,58201,Condo,986,6,No
H0350,North,Hillview,17727,Condo,3063,3,Yes
H0351,East,Lakeland,63700,Condo,2972,5,No
H0352,South,Hillview,19434,Condo,2378,3,Yes
H0353,South,Rivertown,13166,Apartment,1737,2,No
H0354,East,Hillview,66153,Apartment,3013,2,Yes
H0355,South,Hillview,88884,Townhouse,1239,3,No
H0356,West,Lakeland,57058,Townhouse,1778,5,Yes
H0357,West,Springfield,74376,Condo,633,4,No
H0358,West,Lakeland,18592,Townhouse,2396,6,Yes
H0359,South,Hillview,31889,Townhouse,625,3,Yes
H0360,East,Hillview,39445,Detached,3260,5,Yes
H0361,West,Hillview,95574,Detached,2624,4,No
H0362,South,Hillview,42687,Condo,2495,1,No
H0363,North,Hillview,77750,Townhouse,3315,1,Yes
H0364,West,Lakeland,50506,Apartment,652,4,No
H0365,West,Hillview,57888,Condo,1124,2,Yes
H0366,South,Rivertown,40803,Condo,1614,5,No
H0367,South,Hillview,44165,Townhouse,2841,4,Yes
H0368,East,Hillview,95137,Condo,937,1,Yes
H0369,West,Rivertown,20408,Apartment,2054,3,Yes
H0370,East,Hillview,18241,Condo,1326,1,No
H0371,East,Rivertown,57582,Townhouse,1570,4,No
H0372,East,Hillview,14756,Townhouse,2149,3,Yes
H0373,South,Lakeland,35045,Detached,3178,1,Yes
H0374,West,Rivertown,27428,Townhouse,720,1,No
H0375,South,Springfield,91800,Condo,3499,1,No
H0376,North,Springfield,64204,Detached,2878,3,No
H0377,West,Springfield,78785,Condo,765,3,No
H0378,East,Rivertown,47041,Townhouse,838,6,Yes
H0379,North,Springfield,10864,Townhouse,1946,1,Yes
H0380,South,Springfield,87272,Condo,828,3,No
H0381,East,Springfield,50391,Apartment,2207,2,Yes
H0382,East,Lakeland,71784,Apartment,1296,5,No
H0383,North,Rivertown,55026,Detached,1259,6,Yes
H0384,North,Hillview,35135,Condo,3087,3,No
H0385,North,Lakeland,31597,Condo,3458,3,No
H0386,South,Lakeland,34176,Apartment,3379,2,No
H0387,North,Lakeland,54077,Townhouse,664,6,No
H0388,North,Hillview,67213,Apartment,1256,3,No
H0389,West,Hillview,61879,Condo,2735,2,Yes
H0390,West,Rivertown,62100,Detached,1861,2,Yes
H0391,South,Springfield,60300,Detached,1342,3,Yes
H0392,West,Lakeland,25383,Condo,1604,3,No
H0393,West,Rivertown,59808,Apartment,816,2,Yes
H0394,East,Rivertown,16089,Townhouse,554,3,Yes
H0395,North,Hillview,50276,Detached,1118,3,No
H0396,West,Rivertown,53431,Townhouse,2957,5,No
H0397,West,Rivertown,55090,Townhouse,3263,6,Yes
H0398,South,Springfield,25349,Apartment,1595,5,No
H0399,South,Springfield,24758,Detached,951,5,Yes
H0400,West,Rivertown,61123,Condo,1340,2,No
H0401,South,Rivertown,47301,Detached,2278,3,No
H0402,West,Hillview,11914,Apartment,2420,6,No
H0403,East,Springfield,60108,Detached,3265,6,Yes
H0404,South,Rivertown,70434,Detached,1643,6,No
H0405,East,Springfield,35509,Apartment,830,4,No
H0406,West,Lakeland,47568,Condo,1273,5,Yes
H0407,East,Springfield,44719,Condo,1065,5,No
H0408,North,Springfield,62520,Townhouse,1574,3,No
H0409,North,Springfield,26065,Apartment,2549,4,No
H0410,East,Rivertown,46816,Apartment,3399,2,No
H0411,West,Lakeland,11751,Detached,1535,2,No
H0412,West,Lakeland,88562,Detached,1913,4,Yes
H0413,South,Hillview,71554,Condo,1328,5,No
H0414,East,Lakeland,93242,Townhouse,1731,4,No
H0415,North,Springfield,51947,Detached,1187,4,Yes
H0416,North,Springfield,83027,Detached,1443,5,No
H0417,South,Springfield,70836,Apartment,974,1,Yes
H0418,North,Lakeland,32421,Condo,1780,5,No
H0419,West,Hillview,35328,Townhouse,2937,1,No
H0420,West,Rivertown,62417,Detached,1051,1,No
H0421,West,Hillview,14673,Condo,2086,2,No
H0422,South,Lakeland,85108,Detached,2592,6,No
H0423,East,Hillview,40962,Detached,1267,2,No
H0424,West,Springfield,41581,Townhouse,3493,6,No
H0425,South,Rivertown,82333,Townhouse,1254,1,No
H0426,East,Rivertown,60403,Detached,1076,4,No
H0427,West,Lakeland,89839,Apartment,1384,1,No
H0428,South,Springfield,18040,Apartment,3388,5,Yes
H0429,North,Rivertown,34748,Apartment,3250,6,Yes
H0430,North,Lakeland,51530,Detached,2835,4,No
H0431,North,Rivertown,84172,Detached,2822,5,Yes
H0432,North,Lakeland,46254,Apartment,1980,5,Yes
H0433,East,Lakeland,23944,Apartment,3157,1,Yes
H0434,South,Springfield,14174,Townhouse,2463,5,Yes
H0435,South,Hillview,67805,Apartment,1238,4,No
H0436,North,Springfield,41763,Townhouse,1650,6,No
H0437,East,Lakeland,14431,Condo,1510,1,No
H0438,West,Rivertown,47153,Apartment,1354,3,Yes
H0439,East,Hillview,13900,Detached,2967,4,Yes
H0440,South,Hillview,92700,Condo,3154,2,Yes
H0441,West,Rivertown,41422,Apartment,2189,1,Yes
H0442,West,Hillview,82068,Townhouse,3140,1,No
H0443,West,Rivertown,77555,Townhouse,2325,4,Yes
H0444,North,Lakeland,64484,Apartment,3112,2,No
H0445,West,Hillview,77401,Apartment,3428,4,No
H0446,North,Springfield,19099,Detached,1525,3,Yes
H0447,South,Lakeland,36136,Apartment,1257,1,Yes
H0448,West,Springfield,56300,Condo,2698,1,Yes
H0449,East,Lakeland,13743,Apartment,644,4,No
H0450,West,Hillview,57206,Detached,682,3,No
H0451,East,Rivertown,58182,Apartment,990,1,No
H0452,West,Hillview,84317,Detached,1850,4,Yes
H0453,South,Lakeland,78328,Townhouse,1274,6,No
H0454,North,Rivertown,78652,Townhouse,1108,5,Yes
H0455,North,Lakeland,47910,Apartment,1424,2,No
H0456,East,Lakeland,94551,Apartment,3158,2,No
H0457,South,Rivertown,49766,Apartment,735,5,No
H0458,East,Springfield,69067,Townhouse,1038,6,No
H0459,West,Lakeland,74776,Apartment,2017,6,No
H0460,North,Lakeland,16319,Detached,3315,1,No
H0461,West,Rivertown,50316,Detached,2077,3,No
H0462,South,Rivertown,43275,Townhouse,2045,2,Yes
H0463,North,Lakeland,11388,Apartment,854,1,No
H0464,West,Springfield,23618,Detached,2440,3,Yes
H0465,West,Hillview,48717,Townhouse,2755,4,No
H0466,North,Hillview,31986,Detached,2124,2,Yes
H0467,West,Lakeland,72831,Apartment,1698,4,Yes
H0468,North,Springfield,31275,Apartment,1666,2,Yes
H0469,North,Springfield,60022,Townhouse,1191,5,Yes
H0470,North,Springfield,93387,Townhouse,1278,4,No
H0471,South,Lakeland,95822,Condo,864,5,Yes
H0472,North,Springfield,62452,Condo,2156,1,Yes
H0473,East,Hillview,17455,Condo,1279,1,No
H0474,North,Lakeland,48902,Townhouse,2513,2,Yes
H0475,North,Springfield,36634,Condo,2640,3,Yes
H0476,West,Springfield,48643,Townhouse,3349,2,Yes
H0477,East,Lakeland,80452,Apartment,3341,5,No
H0478,South,Hillview,12627,Condo,1537,6,No
H0479,South,Rivertown,40111,Detached,2261,4,No
H0480,West,Lakeland,12054,Townhouse,2712,6,Yes
H0481,East,Lakeland,13408,Apartment,2695,5,No
H0482,North,Hillview,17017,Detached,3337,2,Yes
H0483,West,Springfield,12476,Apartment,1383,6,No
H0484,West,Springfield,63392,Detached,3489,3,Yes
H0485,North,Rivertown,46959,Apartment,2542,1,Yes
H0486,West,Rivertown,89807,Townhouse,546,6,No
H0487,West,Rivertown,93821,Townhouse,2641,5,No
H0488,South,Lakeland,90619,Detached,1508,6,No
H0489,South,Springfield,63697,Condo,1687,3,Yes
H0490,East,Lakeland,32265,Condo,801,6,Yes
H0491,West,Hillview,10006,Townhouse,1719,4,Yes
H0492,North,Springfield,47984,Detached,1295,6,Yes
H0493,West,Springfield,78004,Townhouse,1797,2,Yes
H0494,East,Lakeland,14465,Detached,2642,5,No
H0495,West,Hillview,91262,Detached,2329,1,Yes
H0496,South,Lakeland,48247,Detached,1285,6,Yes
H0497,West,Rivertown,35162,Condo,2282,4,Yes
H0498,South,Rivertown,95551,Townhouse,2437,4,Yes
H0499,South,Rivertown,83045,Apartment,1047,3,Yes
H0500,East,Springfield,30811,Apartment,744,1,Yes
H0501,West,Hillview,35850,Detached,578,6,Yes
H0502,West,Rivertown,71263,Detached,2242,2,No
H0503,East,Hillview,37721,Condo,3432,2,No
H0504,South,Springfield,25380,Townhouse,3380,1,No
H0505,North,Hillview,67574,Townhouse,2916,1,No
H0506,West,Springfield,11940,Condo,840,3,No
H0507,South,Springfield,78228,Condo,670,3,Yes
H0508,East,Hillview,36115,Condo,760,6,No
H0509,North,Hillview,26206,Apartment,1783,3,No
H0510,North,Rivertown,90671,Townhouse,3247,3,No
H0511,North,Rivertown,90606,Apartment,2708,1,Yes
