household_id,month,year,billing_cycle,payment_status,rate_per_kwh,cost_usd,total_kwh
H0199,Jul,2025,2025-199-01 to 2025-199-30,Pending,0.18,333.75,1854.15
H0200,Aug,2025,2025-200-01 to 2025-200-30,Paid,0.18,226.85,1260.27
H0201,Sep,2025,2025-201-01 to 2025-201-30,Paid,0.18,314.72,1748.42
H0202,Oct,2025,2025-202-01 to 2025-202-30,Unpaid,0.18,348.54,1936.3600000000004
H0203,Nov,2025,2025-203-01 to 2025-203-30,Pending,0.18,229.53,1275.1499999999999
H0204,Dec,2025,2025-204-01 to 2025-204-30,Unpaid,0.18,216.18,1201.0099999999998
H0205,Jan,2025,2025-205-01 to 2025-205-30,Paid,0.18,304.15,1689.73
H0206,Feb,2025,2025-206-01 to 2025-206-30,Unpaid,0.18,221.84,1232.43
H0207,Mar,2025,2025-207-01 to 2025-207-30,Unpaid,0.18,259.75,1443.05
H0208,Apr,2025,2025-208-01 to 2025-208-30,Pending,0.18,308.61,1714.4799999999998
H0209,May,2025,2025-209-01 to 2025-209-30,Unpaid,0.18,330.33,1835.14
H0210,Jun,2025,2025-210-01 to 2025-210-30,Unpaid,0.18,171.62,953.4399999999999
H0211,Jul,2025,2025-211-01 to 2025-211-30,Unpaid,0.18,152.19,845.4800000000001
H0212,Aug,2025,2025-212-01 to 2025-212-30,Unpaid,0.18,165.13,917.4
H0213,Sep,2025,2025-213-01 to 2025-213-30,Paid,0.18,278.63,1547.9599999999998
H0214,Oct,2025,2025-214-01 to 2025-214-30,Paid,0.18,272.18,1512.1299999999999
H0215,Nov,2025,2025-215-01 to 2025-215-30,Unpaid,0.18,298.13,1656.2800000000002
H0216,Dec,2025,2025-216-01 to 2025-216-30,Unpaid,0.18,302.9,1682.7599999999998
H0217,Jan,2025,2025-217-01 to 2025-217-30,Unpaid,0.18,256.08,1422.6899999999998
H0218,Feb,2025,2025-218-01 to 2025-218-30,Paid,0.18,273.91,1521.71
H0219,Mar,2025,2025-219-01 to 2025-219-30,Paid,0.18,278.98,1549.8799999999999
H0220,Apr,2025,2025-220-01 to 2025-220-30,Pending,0.18,231.79,1287.72
H0221,May,2025,2025-221-01 to 2025-221-30,Pending,0.18,249.93,1388.52
H0222,Jun,2025,2025-222-01 to 2025-222-30,Pending,0.18,305.66,1698.1100000000001
H0223,Jul,2025,2025-223-01 to 2025-223-30,Unpaid,0.18,345.98,1922.12
H0224,Aug,2025,2025-224-01 to 2025-224-30,Paid,0.18,274.08,1522.6599999999999
H0225,Sep,2025,2025-225-01 to 2025-225-30,Paid,0.18,283.34,1574.1
H0226,Oct,2025,2025-226-01 to 2025-226-30,Paid,0.18,327.92,1821.79
H0227,Nov,2025,2025-227-01 to 2025-227-30,Paid,0.18,322.77,1793.1399999999999
H0228,Dec,2025,2025-228-01 to 2025-228-30,Pending,0.18,250.15,1389.74
H0229,Jan,2025,2025-229-01 to 2025-229-30,Pending,0.18,242.46,1347.0
H0230,Feb,2025,2025-230-01 to 2025-230-30,Unpaid,0.18,307.43,1707.94
H0231,Mar,2025,2025-231-01 to 2025-231-30,Unpaid,0.18,225.77,1254.27
H0232,Apr,2025,2025-232-01 to 2025-232-30,Unpaid,0.18,333.94,1855.21
H0233,May,2025,2025-233-01 to 2025-233-30,Pending,0.18,320.57,1780.96
H0234,Jun,2025,2025-234-01 to 2025-234-30,Unpaid,0.18,299.72,1665.0899999999997
H0235,Jul,2025,2025-235-01 to 2025-235-30,Unpaid,0.18,391.35,2174.18
H0236,Aug,2025,2025-236-01 to 2025-236-30,Pending,0.18,230.34,1279.64
H0237,Sep,2025,2025-237-01 to 2025-237-30,Unpaid,0.18,295.76,1643.12
H0238,Oct,2025,2025-238-01 to 2025-238-30,Paid,0.18,381.27,2118.17
H0239,Nov,2025,2025-239-01 to 2025-239-30,Unpaid,0.18,274.9,1527.21
H0240,Dec,2025,2025-240-01 to 2025-240-30,Unpaid,0.18,297.78,1654.35
H0241,Jan,2025,2025-241-01 to 2025-241-30,Unpaid,0.18,318.66,1770.36
H0242,Feb,2025,2025-242-01 to 2025-242-30,Pending,0.18,412.12,2289.5699999999997
H0243,Mar,2025,2025-243-01 to 2025-243-30,Pending,0.18,266.01,1477.86
H0244,Apr,2025,2025-244-01 to 2025-244-30,Unpaid,0.18,293.89,1632.71
H0245,May,2025,2025-245-01 to 2025-245-30,Paid,0.18,424.49,2358.2699999999995
H0246,Jun,2025,2025-246-01 to 2025-246-30,Paid,0.18,261.59,1453.29
H0247,Jul,2025,2025-247-01 to 2025-247-30,Paid,0.18,297.9,1654.98
H0248,Aug,2025,2025-248-01 to 2025-248-30,Paid,0.18,230.43,1280.15
H0249,Sep,2025,2025-249-01 to 2025-249-30,Unpaid,0.18,244.25,1356.94
H0250,Oct,2025,2025-250-01 to 2025-250-30,Unpaid,0.18,211.63,1175.7199999999998
H0251,Nov,2025,2025-251-01 to 2025-251-30,Pending,0.18,364.56,2025.34
H0252,Dec,2025,2025-252-01 to 2025-252-30,Unpaid,0.18,257.61,1431.17
H0253,Jan,2025,2025-253-01 to 2025-253-30,Paid,0.18,261.91,1455.0500000000002
H0254,Feb,2025,2025-254-01 to 2025-254-30,Unpaid,0.18,261.64,1453.58
H0255,Mar,2025,2025-255-01 to 2025-255-30,Unpaid,0.18,357.26,1984.7600000000002
H0256,Apr,2025,2025-256-01 to 2025-256-30,Paid,0.18,282.56,1569.79
H0257,May,2025,2025-257-01 to 2025-257-30,Unpaid,0.18,226.01,1255.59
H0258,Jun,2025,2025-258-01 to 2025-258-30,Unpaid,0.18,291.65,1620.3
H0259,Jul,2025,2025-259-01 to 2025-259-30,Paid,0.18,315.13,1750.7399999999998
H0260,Aug,2025,2025-260-01 to 2025-260-30,Pending,0.18,272.94,1516.31
H0261,Sep,2025,2025-261-01 to 2025-261-30,Pending,0.18,254.32,1412.91
H0262,Oct,2025,2025-262-01 to 2025-262-30,Unpaid,0.18,288.97,1605.3999999999999
H0263,Nov,2025,2025-263-01 to 2025-263-30,Unpaid,0.18,350.88,1949.33
H0264,Dec,2025,2025-264-01 to 2025-264-30,Unpaid,0.18,269.36,1496.4499999999998
H0265,Jan,2025,2025-265-01 to 2025-265-30,Unpaid,0.18,329.87,1832.6
H0266,Feb,2025,2025-266-01 to 2025-266-30,Unpaid,0.18,303.99,1688.86
H0267,Mar,2025,2025-267-01 to 2025-267-30,Paid,0.18,271.68,1509.3399999999997
H0268,Apr,2025,2025-268-01 to 2025-268-30,Paid,0.18,187.43,1041.2900000000002
H0269,May,2025,2025-269-01 to 2025-269-30,Paid,0.18,279.78,1554.3500000000001
H0270,Jun,2025,2025-270-01 to 2025-270-30,Pending,0.18,232.56,1292.02
H0271,Jul,2025,2025-271-01 to 2025-271-30,Paid,0.18,313.67,1742.61
H0272,Aug,2025,2025-272-01 to 2025-272-30,Pending,0.18,346.21,1923.3999999999999
H0273,Sep,2025,2025-273-01 to 2025-273-30,Pending,0.18,211.17,1173.1399999999996
H0274,Oct,2025,2025-274-01 to 2025-274-30,Unpaid,0.18,271.87,1510.38
H0275,Nov,2025,2025-275-01 to 2025-275-30,Paid,0.18,261.03,1450.15
H0276,Dec,2025,2025-276-01 to 2025-276-30,Pending,0.18,217.44,1207.98
H0277,Jan,2025,2025-277-01 to 2025-277-30,Pending,0.18,306.89,1704.9499999999998
H0278,Feb,2025,2025-278-01 to 2025-278-30,Pending,0.18,295.37,1640.92
H0279,Mar,2025,2025-279-01 to 2025-279-30,Pending,0.18,265.72,1476.25
H0280,Apr,2025,2025-280-01 to 2025-280-30,Unpaid,0.18,239.2,1328.8799999999999
H0281,May,2025,2025-281-01 to 2025-281-30,Paid,0.18,383.61,2131.1800000000003
H0282,Jun,2025,2025-282-01 to 2025-282-30,Pending,0.18,316.08,1755.99
H0283,Jul,2025,2025-283-01 to 2025-283-30,Paid,0.18,371.5,2063.91
H0284,Aug,2025,2025-284-01 to 2025-284-30,Unpaid,0.18,286.44,1591.3400000000001
H0285,Sep,2025,2025-285-01 to 2025-285-30,Pending,0.18,223.13,1239.61
H0286,Oct,2025,2025-286-01 to 2025-286-30,Unpaid,0.18,241.15,1339.72
H0287,Nov,2025,2025-287-01 to 2025-287-30,Pending,0.18,339.17,1884.2600000000002
H0288,Dec,2025,2025-288-01 to 2025-288-30,Unpaid,0.18,332.81,1848.9500000000003
H0289,Jan,2025,2025-289-01 to 2025-289-30,Paid,0.18,313.76,1743.0900000000001
H0290,Feb,2025,2025-290-01 to 2025-290-30,Unpaid,0.18,297.47,1652.61
H0291,Mar,2025,2025-291-01 to 2025-291-30,Paid,0.18,364.96,2027.5700000000002
H0292,Apr,2025,2025-292-01 to 2025-292-30,Pending,0.18,316.34,1757.44
H0293,May,2025,2025-293-01 to 2025-293-30,Pending,0.18,232.34,1290.79
H0294,Jun,2025,2025-294-01 to 2025-294-30,Pending,0.18,314.54,1747.4299999999998
H0295,Jul,2025,2025-295-01 to 2025-295-30,Pending,0.18,405.39,2252.18
H0296,Aug,2025,2025-296-01 to 2025-296-30,Unpaid,0.18,309.89,1721.6
H0297,Sep,2025,2025-297-01 to 2025-297-30,Pending,0.18,217.45,1208.04
H0298,Oct,2025,2025-298-01 to 2025-298-30,Paid,0.18,364.78,2026.54
H0299,Nov,2025,2025-299-01 to 2025-299-30,Paid,0.18,246.16,1367.55
H0300,Dec,2025,2025-300-01 to 2025-300-30,Pending,0.18,260.87,1449.2599999999998
