household_id,kwh_usage_fridge,kwh_usage_heater,kwh_usage_AC,kwh_usage_washer,kwh_usage_dryer,kwh_usage_oven,kwh_usage_microwave,kwh_usage_TV,kwh_usage_computer,kwh_usage_lighting
H0021,292.39,295.1,287.62,290.71,225.98,229.28,265.51,231.4,222.46,276.4
H0022,258.42,275.52,78.67,168.86,286.21,201.07,131.73,227.63,19.66,288.93
H0023,247.53,265.48,131.57,156.13,74.64,173.34,158.86,122.81,253.46,191.2
H0024,233.88,64.34,298.24,226.1,284.77,259.97,202.71,95.8,77.85,206.21
H0025,225.45,33.54,264.01,197.6,35.2,86.28,133.87,239.97,55.05,64.2
H0026,197.73,241.23,156.23,84.77,114.72,281.99,249.46,168.08,235.32,177.36
H0027,173.87,294.58,69.69,268.59,249.56,215.22,230.62,228.36,13.08,213.4
H0028,73.6,259.35,125.49,166.94,86.49,151.38,39.34,253.08,196.06,171.12
H0029,189.07,241.46,262.37,113.27,125.3,162.26,20.51,205.77,297.02,138.37
H0030,41.55,80.81,150.9,77.26,209.68,54.41,129.42,126.6,186.53,253.05
H0031,117.32,108.22,149.15,91.24,87.64,53.35,282.89,200.51,214.02,276.5
H0032,160.49,118.43,156.03,17.58,217.19,230.51,34.55,258.16,143.69,135.77
H0033,264.89,140.97,189.87,211.86,118.47,85.55,142.61,93.54,114.97,128.71
H0034,180.91,210.16,109.94,62.05,16.51,250.21,109.84,233.0,129.07,22.58
H0035,99.0,256.79,125.6,81.63,290.29,198.91,79.78,244.81,148.67,79.99
H0036,256.03,139.24,237.08,40.65,72.86,266.02,139.38,53.9,265.44,47.24
H0037,161.27,39.77,68.02,157.72,124.18,22.76,206.2,34.01,123.16,34.41
H0038,246.92,89.24,297.42,131.52,247.17,266.26,281.22,85.06,242.94,107.59
H0039,274.1,219.96,180.81,65.02,77.2,299.3,228.07,64.37,288.73,262.55
H0040,80.4,31.82,28.28,299.09,139.85,98.88,238.13,70.99,153.08,243.28
H0041,54.28,35.66,72.75,56.95,257.31,25.19,125.15,230.78,61.58,222.08
H0042,140.7,258.42,38.34,95.34,44.08,123.51,16.21,118.11,151.5,86.81
H0043,244.56,126.99,85.95,185.01,279.44,275.2,253.33,278.79,81.59,130.29
H0044,72.44,217.58,42.96,17.28,213.91,101.88,118.99,21.07,151.26,95.69
H0045,146.8,100.85,244.88,31.71,66.68,248.09,142.35,238.58,111.71,99.77
H0046,213.87,63.89,75.79,174.21,276.07,153.84,278.41,181.53,134.51,211.18
H0047,40.0,141.61,119.6,121.92,233.17,186.19,27.5,75.02,295.12,165.84
H0048,222.75,190.88,21.42,11.29,137.98,270.88,284.42,264.75,90.92,265.64
H0049,279.5,222.83,239.34,37.11,84.6,29.14,85.1,101.26,131.55,23.52
H0050,182.4,55.64,53.91,52.11,171.58,175.87,242.01,75.56,145.03,76.3
H0051,36.58,71.39,70.47,43.73,261.53,111.63,174.27,171.84,221.14,128.98
H0052,172.16,55.76,289.78,93.33,211.65,151.2,284.35,279.05,298.23,210.38
H0053,175.91,142.52,238.32,144.87,12.85,116.0,58.08,68.4,103.89,238.13
H0054,283.21,257.43,112.83,22.56,272.64,266.48,199.23,108.04,109.36,77.24
H0055,229.49,24.57,44.96,278.32,175.24,262.36,221.3,77.85,87.54,223.05
H0056,184.5,66.25,227.1,193.15,33.34,187.08,95.59,186.64,74.84,97.21
H0057,160.65,112.14,74.41,232.74,292.24,261.38,297.82,229.66,104.1,132.84
H0058,231.35,136.1,267.09,269.76,126.86,117.08,215.14,106.74,51.13,298.99
H0059,59.27,239.32,116.93,249.97,224.15,114.78,39.85,38.58,268.89,50.6
H0060,298.24,227.68,219.99,131.11,77.57,145.46,64.61,220.68,214.49,153.14
H0061,149.86,172.17,85.86,244.45,186.06,268.94,250.7,31.52,222.26,218.42
H0062,238.35,19.5,214.47,243.2,94.33,170.3,257.68,188.21,39.16,288.66
H0063,32.78,176.11,160.3,196.38,104.43,193.81,287.96,29.06,52.21,196.35
H0064,97.24,107.37,61.8,30.97,295.55,158.08,189.52,139.07,165.57,20.67
H0065,35.35,129.41,275.74,77.59,75.76,216.96,47.02,249.99,104.49,166.51
H0066,13.72,211.1,60.85,112.25,89.35,238.88,276.85,263.95,163.38,173.28
H0067,241.72,23.89,97.96,273.6,118.47,89.46,114.03,31.1,51.23,25.23
H0068,284.61,102.39,158.76,145.28,194.35,187.68,78.97,105.3,273.36,67.36
H0069,47.28,258.91,230.34,274.5,143.16,155.0,54.91,253.0,14.95,228.45
H0070,239.01,98.29,114.96,252.76,16.05,163.99,76.51,224.92,204.82,151.34
H0071,113.47,182.21,113.82,165.18,257.3,287.02,251.54,184.29,23.84,172.1
H0072,231.94,96.21,10.47,192.55,225.39,272.59,96.38,176.39,246.96,149.85
H0073,174.01,196.46,112.81,49.96,63.87,252.56,284.99,44.59,216.98,273.59
H0074,60.92,221.67,233.73,20.55,257.3,88.01,17.36,245.2,162.6,250.06
H0075,123.58,115.1,20.19,78.86,197.44,235.38,192.1,136.15,262.28,173.55
H0076,294.43,60.15,151.54,299.67,250.35,245.88,90.96,137.19,179.28,212.39
H0077,56.0,126.34,210.13,216.93,174.31,78.95,238.73,157.94,58.92,183.06
H0078,164.34,19.21,133.61,257.64,271.92,207.72,122.74,159.64,228.95,96.1
H0079,129.82,272.32,129.98,265.88,244.63,183.17,131.1,18.28,72.63,134.9
H0080,36.95,58.39,86.4,289.92,292.01,200.3,138.76,95.19,134.59,126.89
H0081,165.94,148.24,131.93,225.03,86.17,64.56,91.82,10.6,78.28,141.87
H0082,234.22,181.0,138.75,77.11,166.13,17.24,270.87,262.84,60.61,223.35
H0083,110.74,16.47,267.23,294.53,62.02,62.64,202.03,70.74,274.42,141.99
H0084,174.11,140.23,157.51,157.17,118.98,220.39,144.72,285.92,84.45,207.51
H0085,297.79,282.12,299.1,137.77,95.04,168.81,16.34,263.54,256.53,274.55
H0086,261.4,59.19,105.69,186.99,221.58,42.7,150.19,156.93,27.45,44.42
H0087,90.27,219.13,115.49,94.91,231.91,138.84,189.09,97.51,112.76,216.42
H0088,147.83,90.21,96.93,178.71,29.8,279.43,239.29,205.79,199.25,222.96
H0089,141.4,270.12,122.9,264.73,237.61,225.94,162.92,50.12,257.23,43.63
H0090,14.89,297.73,37.16,201.67,88.51,255.7,179.11,297.92,255.27,180.28
H0091,242.91,255.56,69.6,281.03,14.64,206.68,83.95,48.34,74.96,114.09
H0092,45.31,266.95,30.42,287.39,240.83,223.69,91.19,135.13,18.45,82.82
H0093,294.05,101.03,13.55,48.72,81.08,193.43,238.41,167.75,60.85,244.9
H0094,70.96,61.66,280.71,284.2,226.73,165.1,131.03,170.84,44.38,289.31
H0095,144.59,175.42,30.35,296.9,68.33,10.67,223.3,79.5,78.79,162.55
H0096,273.44,153.36,156.88,137.87,281.4,38.69,153.46,251.41,231.15,282.22
H0097,117.5,129.31,131.09,107.23,85.95,57.62,199.11,186.76,152.29,141.69
H0098,47.15,73.97,81.26,185.11,239.68,175.33,113.63,21.08,46.41,96.15
H0099,210.46,32.13,207.86,35.49,117.86,129.5,269.52,284.9,179.05,28.61
H0100,94.4,262.79,264.04,16.09,127.61,29.79,11.82,286.78,214.84,214.19
H0101,142.16,84.42,62.72,142.7,16.86,18.14,152.59,119.34,97.25,212.74
H0102,153.73,212.21,38.64,112.29,225.45,157.03,217.17,85.42,180.35,28.13
H0103,278.74,87.76,244.4,247.36,176.6,133.41,190.76,106.63,118.86,104.58
H0104,97.69,103.22,126.3,20.53,123.49,140.19,191.2,150.76,163.83,241.26
H0105,63.96,17.77,266.16,291.99,243.23,91.68,188.66,279.8,141.61,153.43
H0106,125.79,115.09,82.83,159.44,161.26,295.18,271.84,101.35,293.88,168.67
H0107,263.72,166.76,26.76,35.43,167.83,156.2,28.06,230.43,26.76,242.2
H0108,97.26,236.02,76.26,192.83,83.97,280.33,228.97,126.69,24.91,94.77
H0109,194.81,142.04,93.02,35.85,181.29,260.15,183.23,299.39,182.79,61.57
H0110,175.2,258.02,137.29,86.05,26.34,187.84,88.85,127.01,100.06,239.09
H0111,196.4,128.08,218.11,218.87,234.07,237.82,156.32,175.01,227.24,268.5
H0112,212.67,106.04,24.02,38.88,226.94,24.89,164.18,123.88,32.8,140.79
H0113,214.98,103.21,296.19,259.37,34.37,237.65,73.29,59.88,76.96,49.06
H0114,66.16,261.43,124.87,78.08,62.18,163.42,262.7,256.53,72.41,34.25
H0115,126.41,81.16,25.62,102.48,75.44,239.99,272.15,213.97,106.21,273.72
H0116,201.77,242.2,201.87,71.99,240.61,94.59,79.29,253.15,148.91,279.17
H0117,24.62,87.63,228.74,245.58,264.1,49.19,159.09,228.89,45.75,252.72
H0118,169.03,228.43,136.82,262.32,204.56,13.6,108.65,215.54,288.14,130.84
H0119,165.48,27.84,242.81,22.98,53.13,297.35,254.87,285.9,24.53,241.24
H0120,86.69,298.55,123.01,27.82,104.74,170.48,193.5,21.77,47.92,89.45
H0121,72.47,254.39,73.54,175.15,94.77,231.24,62.48,259.74,204.19,269.02
H0122,157.41,61.82,74.63,59.43,112.56,151.07,108.03,10.93,123.45,168.05
H0123,101.25,131.73,91.68,266.52,83.97,55.15,46.11,147.57,266.76,199.85
H0124,43.22,148.57,12.54,178.08,151.7,294.58,201.39,259.8,19.8,279.48
H0125,266.04,101.19,40.59,180.62,210.26,225.55,203.71,95.81,159.47,134.67
H0126,71.74,64.66,81.64,272.12,208.17,272.25,166.34,109.83,129.98,269.38
H0127,212.19,103.14,163.93,238.35,294.24,181.1,177.82,17.32,142.99,115.78
H0128,233.44,177.79,175.05,278.66,15.69,287.82,107.84,191.5,201.37,165.46
H0129,268.26,197.0,287.54,168.73,161.43,112.91,85.4,26.62,219.11,187.23
H0130,136.21,200.81,130.99,172.02,68.33,139.78,207.9,235.29,132.75,160.09
H0131,286.22,110.72,147.02,83.64,36.24,32.47,98.71,39.5,164.34,254.95
H0132,172.36,257.1,191.06,248.07,79.0,34.44,254.96,175.08,202.85,36.66
H0133,255.71,35.08,192.5,195.19,143.65,52.35,70.17,268.6,125.05,44.12
H0134,44.85,289.22,17.19,236.22,74.44,282.37,38.89,167.64,93.95,294.22
H0135,92.24,100.73,297.38,130.32,146.78,20.46,237.5,291.98,197.63,31.64
H0136,255.23,161.59,117.81,161.32,181.68,82.8,230.19,233.58,267.01,255.15
H0137,264.32,158.22,54.79,109.87,274.31,205.88,83.93,21.47,64.18,48.55
H0138,187.63,56.03,117.2,83.19,11.71,216.23,74.94,55.5,47.22,246.67
H0139,179.55,151.39,83.03,244.42,15.57,51.5,41.65,127.47,148.66,103.95
H0140,90.38,133.04,161.93,91.33,185.11,263.68,69.44,235.53,64.16,71.25
H0141,247.3,17.41,71.41,151.88,96.73,142.91,254.42,207.14,48.98,282.45
H0142,16.68,267.73,245.67,89.17,28.89,47.63,253.22,53.51,204.77,118.84
H0143,39.52,27.89,238.81,154.75,279.58,156.8,225.87,273.77,50.07,54.51
H0144,20.78,55.73,137.63,143.43,65.85,31.47,97.16,102.25,223.97,247.22
H0145,57.6,88.26,155.95,220.22,115.82,232.41,34.23,284.37,196.25,175.71
H0146,239.14,196.6,120.27,269.98,255.46,204.89,73.94,68.58,163.73,254.12
H0147,173.4,184.67,291.7,226.91,266.01,151.3,217.07,230.91,266.8,134.53
H0148,214.81,210.77,83.52,185.65,134.66,202.03,217.5,272.84,225.08,234.16
H0149,74.4,192.34,38.57,161.55,176.22,22.12,110.59,286.3,19.08,169.19
H0150,256.04,64.79,262.91,177.36,111.99,266.75,29.03,266.83,220.94,91.78
H0151,147.06,214.32,172.62,261.81,231.0,123.6,60.88,153.03,55.7,294.63
H0152,133.31,90.76,90.77,134.01,84.95,192.43,111.46,102.38,121.99,236.7
H0153,77.77,125.52,29.02,144.7,230.04,45.63,78.56,277.15,101.07,274.54
H0154,266.89,211.33,60.69,28.19,92.39,171.77,221.45,261.0,202.12,166.73
H0155,157.3,297.11,12.52,78.73,195.28,232.29,118.51,210.29,234.12,38.46
H0156,63.02,12.44,40.9,117.47,218.21,20.01,182.67,237.03,194.44,208.6
H0157,22.01,25.65,139.4,243.28,131.32,187.87,14.11,111.53,156.97,96.07
H0158,39.05,259.06,287.36,112.38,156.08,282.21,87.05,227.5,213.72,199.4
H0159,45.81,255.91,236.8,164.38,180.47,92.07,92.02,248.2,260.63,60.03
H0160,15.73,82.68,145.84,58.31,120.5,93.78,27.83,285.08,258.06,146.6
H0161,136.86,39.27,58.75,220.12,138.99,273.0,142.57,245.49,36.34,152.19
H0162,271.54,271.06,85.71,184.02,109.6,128.59,111.01,81.69,85.78,27.83
H0163,54.8,124.97,65.85,62.95,25.84,182.8,45.58,229.93,122.59,195.69
H0164,192.5,20.53,98.49,177.08,57.12,16.32,147.37,287.46,153.31,93.44
H0165,137.39,109.8,96.35,238.85,101.92,235.33,282.58,166.72,128.1,10.19
H0166,235.28,146.65,190.9,286.61,133.38,218.9,168.98,288.04,204.84,159.08
H0167,56.24,237.51,296.37,190.49,150.55,17.6,88.07,251.72,33.9,18.83
H0168,177.71,198.43,108.88,204.18,45.64,102.44,159.37,183.07,185.65,185.23
H0169,31.34,81.21,221.15,194.36,246.84,92.72,259.82,30.38,176.59,104.33
H0170,260.23,278.05,246.16,255.03,186.76,127.94,110.46,285.48,229.6,269.48
H0171,73.12,58.38,238.76,164.78,172.3,92.97,154.03,94.75,234.24,113.34
H0172,122.89,144.77,130.89,237.63,283.94,210.83,87.26,85.01,115.17,78.06
H0173,211.73,283.83,275.4,25.54,253.18,274.04,63.88,57.02,98.68,99.33
H0174,284.53,157.94,98.17,290.71,275.78,199.3,204.78,42.43,183.04,262.47
H0175,146.39,283.61,83.4,193.51,223.36,231.42,299.38,138.37,81.25,105.08
H0176,201.78,274.15,103.17,124.73,85.87,65.66,249.25,265.57,47.74,17.32
H0177,71.06,219.18,200.51,254.09,260.36,169.84,14.92,77.36,202.33,71.23
H0178,118.72,160.82,83.29,77.29,12.29,248.85,298.1,209.59,88.4,46.82
H0179,297.13,204.93,129.63,222.68,46.63,246.84,152.72,241.8,239.51,35.95
H0180,15.61,239.24,183.28,147.01,36.9,22.89,102.33,68.97,108.6,109.72
H0181,273.78,215.18,274.34,74.45,157.33,20.86,268.09,223.1,180.03,40.61
H0182,101.96,14.8,151.86,43.67,215.76,132.84,75.56,286.92,260.59,201.46
H0183,170.16,64.92,220.9,33.52,257.11,220.53,176.23,70.28,35.14,297.31
H0184,50.89,56.0,69.22,184.64,33.48,243.62,105.33,211.69,116.25,18.64
H0185,33.18,23.07,62.28,212.55,35.52,268.39,133.19,72.44,187.44,151.35
H0186,133.77,69.8,114.85,98.47,182.57,51.77,165.43,59.92,269.41,284.42
H0187,229.65,17.5,12.48,27.26,56.75,163.3,148.27,63.13,83.31,238.53
H0188,233.26,186.39,257.74,15.12,174.85,223.57,56.49,157.59,240.23,253.96
H0189,160.93,292.43,58.6,209.9,195.99,108.47,92.62,299.41,147.07,112.53
H0190,42.45,159.84,72.0,275.06,274.71,238.55,12.79,290.47,222.13,167.52
H0191,234.77,72.17,66.4,175.56,223.43,176.9,163.52,98.61,295.36,166.16
H0192,41.5,276.38,78.05,185.28,159.92,115.49,173.25,41.31,79.01,216.71
H0193,264.61,124.96,175.11,260.79,109.28,187.99,277.96,139.08,183.43,125.23
H0194,59.65,157.93,129.07,72.33,251.03,68.52,206.08,209.55,125.72,41.19
H0195,223.2,85.3,11.8,12.53,23.96,84.79,179.47,239.96,171.66,26.39
H0196,51.28,201.64,210.47,99.71,253.21,11.68,63.69,80.41,43.06,254.05
H0197,250.27,55.83,186.18,81.83,265.58,144.19,251.26,166.45,11.07,236.65
H0198,158.66,193.98,68.97,101.23,220.52,235.2,169.27,15.66,243.67,100.95
H0199,169.56,181.55,80.29,118.18,251.72,246.17,287.21,156.14,165.82,197.51
H0200,197.53,32.15,114.41,83.05,228.52,23.38,219.5,57.64,129.73,174.36
H0201,108.82,187.78,253.57,52.09,285.85,83.31,258.8,59.02,277.3,181.88
H0202,168.02,280.94,127.31,240.48,280.2,193.39,10.63,97.88,244.31,293.2
H0203,89.82,75.3,259.96,11.01,165.0,110.72,44.94,186.52,292.82,39.06
H0204,12.65,25.32,122.16,196.17,54.4,50.58,159.35,270.31,145.07,165.0
H0205,138.81,136.33,24.45,257.46,236.55,108.77,75.59,201.92,249.47,260.38
H0206,281.78,50.62,152.37,45.39,226.62,80.2,191.72,39.17,71.35,93.21
H0207,238.3,171.81,57.49,59.69,44.65,156.74,293.98,56.55,161.57,202.27
H0208,290.4,296.63,103.63,55.98,220.19,148.58,144.73,278.53,162.04,13.77
H0209,139.22,274.29,241.65,204.91,18.84,283.83,71.34,287.18,47.93,265.95
H0210,156.19,63.0,34.34,28.62,113.38,80.57,154.68,100.9,184.94,36.82
H0211,144.22,17.02,13.38,66.9,20.67,78.88,165.03,165.8,94.47,79.11
H0212,157.38,74.78,15.62,80.24,64.68,134.64,284.27,31.33,35.01,39.45
H0213,113.26,230.8,54.33,283.51,46.11,74.06,172.34,131.33,227.13,215.09
H0214,50.79,209.85,155.28,127.57,219.73,243.42,127.53,119.57,18.3,240.09
H0215,20.05,155.08,123.31,226.84,244.46,258.43,114.91,166.18,237.45,109.57
H0216,133.63,241.35,294.58,265.03,40.18,179.38,204.85,19.52,71.53,232.71
H0217,27.95,188.18,170.02,166.22,23.65,114.53,125.97,149.81,243.31,213.05
H0218,139.95,207.28,191.0,119.26,70.92,66.32,263.01,297.45,59.17,107.35
H0219,82.06,86.04,280.39,214.91,286.5,78.4,101.05,216.74,133.95,69.84
H0220,216.41,64.66,101.04,160.77,126.93,166.45,54.46,237.47,60.22,99.31
H0221,239.11,176.89,221.93,30.47,89.02,106.54,159.67,160.78,154.26,49.85
H0222,273.85,177.66,283.47,287.66,135.98,89.97,201.58,69.48,76.33,102.13
H0223,252.48,247.97,194.32,228.87,185.21,187.7,269.79,36.01,134.5,185.27
H0224,285.52,204.77,85.92,206.99,153.01,83.96,96.62,181.76,33.08,191.03
H0225,127.56,61.96,179.82,186.88,273.89,132.5,59.6,66.06,294.52,191.31
H0226,30.28,63.61,265.4,244.07,147.41,237.26,236.88,57.46,274.48,264.94
H0227,199.51,289.36,236.52,140.28,259.55,168.68,220.89,96.06,54.96,127.33
H0228,105.22,188.28,71.49,123.43,116.74,195.49,72.49,118.38,243.72,154.5
H0229,44.36,198.38,79.0,215.07,260.97,261.24,73.24,123.06,54.78,36.9
H0230,283.86,178.64,196.82,106.6,288.58,274.96,19.85,66.88,236.84,54.91
H0231,55.09,103.04,19.68,86.75,63.81,263.11,111.24,122.12,164.07,265.36
H0232,40.61,243.25,293.39,227.84,135.33,234.82,148.14,60.93,216.31,254.59
H0233,157.71,209.82,271.27,221.94,11.56,292.37,174.99,200.61,100.2,140.49
H0234,139.38,124.53,285.53,125.69,88.85,258.64,289.55,83.38,192.71,76.83
H0235,271.4,278.77,299.71,47.98,161.9,292.85,232.1,287.27,186.6,115.6
H0236,202.66,90.33,111.44,29.67,107.22,76.21,167.91,91.83,249.64,152.73
H0237,254.31,218.83,55.77,150.61,244.91,255.03,149.18,47.0,13.09,254.39
H0238,239.44,286.92,32.49,159.26,277.42,251.78,266.92,290.78,74.43,238.73
H0239,108.79,260.11,154.38,211.27,55.95,289.67,87.15,53.57,73.25,233.07
H0240,164.7,190.83,103.38,165.78,258.43,199.7,102.56,211.71,62.08,195.18
H0241,225.05,166.84,281.07,14.92,191.17,205.22,145.58,262.49,36.69,241.33
H0242,239.01,153.88,266.56,294.76,99.8,273.25,189.34,183.62,290.82,298.53
H0243,119.09,206.53,244.94,200.87,231.26,221.9,92.63,70.41,34.21,56.02
H0244,194.42,81.69,276.08,234.22,255.28,192.15,88.84,173.7,68.04,68.29
H0245,292.13,183.22,290.88,185.94,282.64,288.61,236.01,288.15,58.72,251.97
H0246,103.07,91.26,123.46,134.58,194.29,200.42,196.29,18.29,231.68,159.95
H0247,266.95,228.16,221.05,287.74,62.52,70.3,17.25,241.52,40.39,219.1
H0248,233.23,157.32,57.73,168.4,99.67,64.18,254.67,66.15,11.5,167.3
H0249,150.95,220.94,272.56,14.69,35.5,219.42,152.6,61.68,22.31,206.29
H0250,41.54,218.61,116.73,223.85,154.39,39.89,89.52,48.8,58.54,183.85
H0251,148.23,192.57,187.75,218.88,228.77,101.35,217.51,279.34,232.42,218.52
H0252,219.44,108.05,268.85,42.04,172.53,152.28,196.25,117.92,139.52,14.29
H0253,259.43,162.98,174.31,127.43,66.93,123.75,16.53,271.69,98.87,153.13
H0254,69.06,22.71,152.77,12.55,43.27,186.54,242.45,268.73,262.77,192.73
H0255,212.04,156.11,110.61,224.08,295.1,26.01,288.68,207.93,284.55,179.65
H0256,18.3,57.5,58.9,166.68,62.71,264.57,257.55,215.48,248.01,220.09
H0257,137.87,103.4,257.37,27.23,174.03,87.77,86.91,15.99,290.43,74.59
H0258,85.12,98.2,175.3,258.55,273.66,214.22,30.86,225.05,124.33,135.01
H0259,110.43,204.85,127.43,212.6,295.03,141.38,145.05,270.89,216.52,26.56
H0260,145.35,203.05,90.98,207.59,211.28,28.33,186.28,190.78,113.06,139.61
H0261,31.1,194.07,121.05,235.42,59.72,180.08,51.6,152.31,133.8,253.76
H0262,142.07,243.24,195.04,72.35,204.27,94.27,274.09,37.31,159.1,183.66
H0263,127.24,227.92,282.18,258.98,128.17,73.67,131.13,211.13,215.56,293.35
H0264,226.89,146.66,147.78,42.4,224.57,272.58,24.01,246.21,13.25,152.1
H0265,242.82,187.84,222.56,201.39,244.9,199.52,31.67,45.57,208.57,247.76
H0266,157.49,286.97,39.98,229.75,189.08,149.69,56.08,91.86,194.51,293.45
H0267,169.7,71.19,150.1,81.31,216.98,210.43,289.12,37.58,213.1,69.83
H0268,53.08,95.59,122.66,210.86,26.97,99.08,134.09,34.82,225.6,38.54
H0269,79.62,181.82,231.85,141.35,57.47,185.81,159.6,165.17,227.36,124.3
H0270,133.72,264.95,25.85,185.39,41.0,118.56,15.09,67.03,221.72,218.71
H0271,50.52,104.82,223.5,265.2,215.16,278.09,199.47,150.58,59.26,196.01
H0272,211.85,255.49,75.33,285.14,295.61,40.15,285.6,115.35,177.06,181.82
H0273,172.42,178.72,123.48,141.72,133.91,62.31,116.8,83.06,45.36,115.36
H0274,113.9,101.01,81.34,187.43,213.46,220.97,89.22,142.53,64.28,296.24
H0275,51.04,104.86,10.45,126.28,147.25,152.21,271.15,298.57,73.48,214.86
H0276,219.4,44.98,58.06,145.0,19.14,108.09,172.63,206.92,24.1,209.66
H0277,171.12,101.93,250.76,298.2,111.14,130.86,219.26,105.06,188.35,128.27
H0278,167.22,58.44,162.61,164.44,210.85,83.49,202.04,284.4,41.84,265.59
H0279,39.74,72.22,14.28,282.15,268.77,238.9,36.12,70.04,221.49,232.54
H0280,125.56,160.1,299.04,105.75,109.14,130.7,254.65,39.27,78.61,26.06
H0281,256.94,220.51,11.75,279.92,279.73,210.19,214.06,270.23,229.61,158.24
H0282,258.85,103.83,287.98,47.64,124.31,50.34,261.53,226.78,160.75,233.98
H0283,283.44,259.45,248.31,76.62,163.7,251.27,185.14,253.68,275.13,67.17
H0284,90.22,98.41,244.74,290.39,147.21,135.25,274.44,198.0,76.19,36.49
H0285,35.13,36.0,266.81,232.23,98.7,20.49,122.18,10.91,234.58,182.58
H0286,38.11,223.86,205.26,82.6,255.98,224.22,107.06,49.9,111.77,40.96
H0287,115.18,238.48,53.83,25.12,240.61,189.73,188.41,283.44,296.75,252.71
H0288,48.79,94.31,293.26,196.77,227.35,270.95,150.24,46.25,232.67,288.36
H0289,215.79,113.31,262.7,296.16,274.03,49.68,177.09,142.45,130.22,81.66
H0290,83.74,34.2,108.6,249.56,120.99,292.5,102.2,270.77,187.58,202.47
H0291,58.12,217.95,213.21,173.84,299.72,194.38,241.75,178.68,159.68,290.24
H0292,265.57,263.35,132.22,291.24,170.25,257.08,233.52,11.88,64.5,67.83
H0293,94.01,46.26,222.71,33.08,108.56,48.13,87.01,258.89,288.77,103.37
H0294,82.44,195.62,268.33,242.23,145.55,225.54,74.83,16.8,284.33,211.76
H0295,263.44,230.75,283.26,270.0,236.87,188.42,108.24,254.6,287.9,128.7
H0296,197.14,138.51,259.77,89.5,108.4,252.89,45.29,193.87,205.63,230.6
H0297,25.07,81.25,39.4,15.08,177.6,216.69,27.44,139.33,271.39,214.79
H0298,263.36,287.06,264.81,104.68,205.21,157.32,267.65,271.34,187.1,18.01
H0299,103.73,76.64,53.72,186.85,67.2,117.64,269.77,240.29,167.01,84.7
H0300,204.49,212.07,68.47,42.34,145.67,268.43,42.56,293.38,47.72,124.13
H0301,271.42,153.26,51.68,138.07,235.67,115.73,96.86,298.19,44.27,56.44
H0302,176.89,223.08,68.94,253.81,114.42,247.72,161.27,106.63,49.89,203.43
H0303,76.73,52.52,40.51,203.86,212.07,187.04,114.41,277.7,114.52,224.3
H0304,123.16,135.46,169.25,103.91,156.3,198.44,206.45,195.9,218.94,202.35
H0305,188.62,38.81,56.94,249.39,222.03,57.57,150.93,222.79,139.64,274.89
H0306,233.36,253.45,164.72,289.63,94.49,61.78,22.99,220.73,189.06,255.26
H0307,61.37,244.06,236.13,63.35,256.43,282.47,187.01,130.15,124.22,91.12
H0308,190.79,171.02,197.68,30.39,178.76,38.5,121.33,207.75,121.48,17.01
H0309,48.68,152.58,123.96,126.92,251.54,99.61,192.17,235.1,43.66,278.92
H0310,50.29,298.23,136.77,252.64,169.49,80.57,195.15,234.1,272.68,196.33
H0311,182.74,166.1,286.23,37.59,83.41,39.38,250.29,36.89,208.71,187.74
H0312,125.66,191.64,222.73,145.79,211.44,164.93,230.29,179.47,154.66,163.01
H0313,58.01,112.49,203.96,78.36,224.67,178.09,125.22,285.75,145.62,94.51
